date,hosp_for_covid,hosp_other_conditions,icu_for_covid,icu_other_conditions
2022-01-10,0.5302,0.4698,0.7955,0.2045
2022-01-11,0.5395,0.4605,0.8279,0.1721
2022-01-12,0.5468,0.4532,0.8307,0.1693
2022-01-13,0.545,0.455,0.8198,0.1802
2022-01-14,0.5277,0.4723,0.8027,0.1973
2022-01-15,0.5309,0.4691,0.7942,0.2058
2022-01-16,0.5224,0.4776,0.7899,0.2101
2022-01-17,0.5274,0.4726,0.795,0.205
2022-01-18,0.5276,0.4724,0.8166,0.1834
2022-01-19,0.5411,0.4589,0.8253,0.1747
2022-01-20,0.5486,0.4514,0.8115,0.1885
2022-01-21,0.5414,0.4586,0.8167,0.1833
2022-01-22,0.566,0.434,0.8189,0.1811
2022-01-23,0.5559,0.4441,0.7954,0.2046
2022-01-24,0.5588,0.4412,0.8327,0.1673
2022-01-25,0.5539,0.4461,0.8404,0.1596
2022-01-26,0.5564,0.4436,0.824,0.176
2022-01-27,0.5613,0.4387,0.8136,0.1864
2022-01-28,0.5537,0.4463,0.8087,0.1913
2022-01-29,0.5454,0.4546,0.8091,0.1909
2022-01-30,0.5434,0.4566,0.8088,0.1912
2022-01-31,0.5586,0.4414,0.8248,0.1752
2022-02-01,0.5503,0.4497,0.8206,0.1794
2022-02-02,0.563,0.437,0.8256,0.1744
2022-02-03,0.5633,0.4367,0.8253,0.1747
2022-02-04,0.5435,0.4565,0.8345,0.1655
2022-02-05,0.5431,0.4569,0.7976,0.2024
2022-02-06,0.5447,0.4553,0.7837,0.2163
2022-02-07,0.5487,0.4513,0.801,0.199
2022-02-08,0.5586,0.4414,0.8168,0.1832
2022-02-09,0.5585,0.4415,0.8028,0.1972
2022-02-10,0.5526,0.4474,0.7614,0.2386
2022-02-11,0.5368,0.4632,0.8025,0.1975
2022-02-12,0.5432,0.4568,0.8082,0.1918
2022-02-13,0.547,0.453,0.8106,0.1894
2022-02-14,0.5311,0.4689,0.8185,0.1815
2022-02-15,0.5393,0.4607,0.7964,0.2036
2022-02-16,0.5399,0.4601,0.8161,0.1839
2022-02-17,0.5207,0.4793,0.803,0.197
2022-02-18,0.5065,0.4935,0.8065,0.1935
2022-02-19,0.5008,0.4992,0.794,0.206
2022-02-20,0.5089,0.4911,0.8634,0.1366
2022-02-21,0.5115,0.4885,0.7971,0.2029
2022-02-22,0.4925,0.5075,0.8038,0.1962
2022-02-23,0.4911,0.5089,0.775,0.225
2022-02-24,0.4883,0.5117,0.7755,0.2245
2022-02-25,0.4857,0.5143,0.8011,0.1989
2022-02-26,0.4596,0.5404,0.8171,0.1829
2022-02-27,0.4442,0.5558,0.8408,0.1592
2022-02-28,0.4519,0.5481,0.7836,0.2164
2022-03-01,0.4542,0.5458,0.8026,0.1974
2022-03-02,0.4441,0.5559,0.8239,0.1761
2022-03-03,0.4495,0.5505,0.8082,0.1918
2022-03-04,0.4438,0.5562,0.7973,0.2027
2022-03-05,0.438,0.562,0.7755,0.2245
2022-03-06,0.4353,0.5647,0.7692,0.2308
2022-03-07,0.4239,0.5761,0.7746,0.2254
2022-03-08,0.4385,0.5615,0.8154,0.1846
2022-03-09,0.4555,0.5445,0.8168,0.1832
2022-03-10,0.4637,0.5363,0.7895,0.2105
2022-03-11,0.4603,0.5397,0.7578,0.2422
2022-03-12,0.4654,0.5346,0.7692,0.2308
